[nps1] attn_out 0x723134e00000  flags 0x723134f11000 / 0x723134f11000  weight 0x723134400000 (6.11 MiB)
[nps1] aid=0 coherent=0 split=0 hier_split=0
[nps1] 184 tiles (23/XCD), 256 threads, 400 layers, delay=0 skew=0, 736 polling waves
[OPROJ_INNER] slicewait=0.40 mfma=3.96 bar=1.68 rmsnorm_router=1.48 topk=0.92 total=8.44
[OPROJ_INNER] slicewait=0.40 mfma=4.04 bar=1.84 rmsnorm_router=1.44 topk=3.48 total=11.20
[OPROJ_INNER] slicewait=0.44 mfma=3.92 bar=1.68 rmsnorm_router=1.52 topk=1.64 total=9.20
[OPROJ_INNER] slicewait=0.40 mfma=4.00 bar=1.60 rmsnorm_router=1.48 topk=0.76 total=8.24
[OPROJ_INNER] slicewait=0.40 mfma=3.96 bar=1.88 rmsnorm_router=1.52 topk=2.52 total=10.28
[OPROJ_INNER] slicewait=0.40 mfma=3.96 bar=1.64 rmsnorm_router=1.44 topk=0.72 total=8.16
[OPROJ_INNER] slicewait=0.40 mfma=4.04 bar=1.84 rmsnorm_router=1.48 topk=3.60 total=11.36
[OPROJ_INNER] slicewait=0.40 mfma=3.96 bar=1.72 rmsnorm_router=1.48 topk=1.80 total=9.36
[OPROJ_INNER] slicewait=0.44 mfma=3.88 bar=1.92 rmsnorm_router=1.60 topk=3.52 total=11.36
[OPROJ_INNER] slicewait=0.40 mfma=3.88 bar=1.72 rmsnorm_router=1.44 topk=0.40 total=7.84
[OPROJ_INNER] slicewait=0.40 mfma=3.96 bar=1.76 rmsnorm_router=1.60 topk=3.88 total=11.60
[OPROJ_INNER] slicewait=0.40 mfma=4.00 bar=1.64 rmsnorm_router=1.44 topk=1.04 total=8.52
[OPROJ_INNER] slicewait=0.40 mfma=3.92 bar=1.92 rmsnorm_router=1.48 topk=3.80 total=11.52
[OPROJ_INNER] slicewait=0.40 mfma=4.00 bar=1.72 rmsnorm_router=1.52 topk=2.04 total=9.68
